track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,popularity_category,duration_minutes,explicit_label
5iNn43bKN1jSLllFkEfdOg,Super Simple Songs,ABC Boo,ABC Boo,1.0,192395.0,False,0.661,0.459,2.0,-10.113,0.0,0.0868,0.16,0.0,0.353,0.481,71.914,4.0,children,Low,3.21,Non-Explicit
03UUlyT64WFftDMfPuyXYy,ChuChu TV,"ChuChu TV Toddler Songs & Nursery Rhymes for Babies, Vol. 1 (US Version)",Incy Wincy Spider Nursery Rhyme,39.0,105940.0,False,0.906,0.684,10.0,-5.667,1.0,0.0503,0.0514,0.00259,0.158,0.93,117.06,4.0,children,Moderate,1.77,Non-Explicit
2cZDlNMZOAwZygOvaBrJvn,CoComelon,Nursery Rhymes by CoComelon,The Boo Boo Song,42.0,211077.0,False,0.783,0.14,0.0,-11.918,1.0,0.0336,0.815,0.0,0.0504,0.603,129.969,3.0,children,Moderate,3.52,Non-Explicit
2l7Qgiu10HXap2V5mOyHPS,CoComelon,Nursery Rhymes by CoComelon,Jack Be Nimble,42.0,110593.0,False,0.87,0.351,9.0,-10.767,1.0,0.106,0.466,2.14e-06,0.0674,0.968,139.993,4.0,children,Moderate,1.84,Non-Explicit
2k2FxrUiLsriOUcScZCcbv,CoComelon,"CoComelon Kids Hits, Vol. 4",The Laughing Song,53.0,126493.0,False,0.966,0.433,4.0,-11.423,1.0,0.0688,0.789,0.0,0.116,0.952,104.997,4.0,children,High,2.11,Non-Explicit
5o0oIgZ4BcBlqMTywVegI9,CoComelon,"CoComelon Kids Hits, Vol. 7",The Ant and the Grasshopper,53.0,156545.0,False,0.754,0.456,0.0,-8.718,1.0,0.0284,0.585,0.0,0.181,0.943,109.971,4.0,children,High,2.61,Non-Explicit
3QdYdxBCEjqUGVMAASBi5m,The Countdown Kids,30 Toddler Songs (for ages 2+),Old MacDonald Had a Farm,26.0,126573.0,False,0.922,0.562,5.0,-6.851,1.0,0.0397,0.762,0.0,0.122,0.749,109.949,4.0,children,Moderate,2.11,Non-Explicit
5GjXNfKlNfOgacGtTUMXKe,Super Simple Songs,It's Time for Bed,Skidamarink,48.0,136411.0,False,0.694,0.114,7.0,-14.401,1.0,0.141,0.508,2.19e-06,0.0948,0.445,100.036,4.0,children,Moderate,2.27,Non-Explicit
0cPYboOeyD49fnnZBSEEZ2,Peppa Pig,My First Album,"Rainbow, Rainbow",53.0,123165.0,False,0.638,0.358,2.0,-6.668,1.0,0.0572,0.804,0.0,0.0993,0.385,98.981,4.0,children,High,2.05,Non-Explicit
1OhhHhZnZRRs38Vkc7dMDm,Super Simple Songs,ABC Boo,ABC Boo - Sing-Along,0.0,191997.0,False,0.763,0.388,2.0,-14.338,0.0,0.0296,0.181,0.838,0.292,0.767,144.013,4.0,children,Low,3.2,Non-Explicit
3TbB6otm9PNJMMpQsYco7N,The Countdown Kids,30 Toddler Songs (for ages 2+),The Wheels on the Bus Go Round and Round,26.0,87160.0,False,0.942,0.492,7.0,-8.153,1.0,0.0453,0.584,0.0,0.0778,0.971,110.134,4.0,children,Moderate,1.45,Non-Explicit
1kUyRmkOjUZYkmxB1CC801,Listener Kids,Lullabies,Twinkle Twinkle Little Star (Lullaby),39.0,194205.0,False,0.602,0.0675,0.0,-12.174,1.0,0.0645,0.983,0.677,0.113,0.137,70.015,4.0,children,Moderate,3.24,Non-Explicit
6FV868YtkDylMpYtdNdZOd,Super Simple Songs,Monster Party,Monster Party,40.0,140892.0,False,0.767,0.978,9.0,-4.027,1.0,0.0538,0.0299,1.84e-05,0.287,0.961,125.023,4.0,children,Moderate,2.35,Non-Explicit
4EjdlRzIns3YulKVND2jr9,The Learning Station,7 Days of the Week,7 Days of the Week,55.0,93806.0,False,0.826,0.689,2.0,-6.038,1.0,0.0329,0.665,0.0,0.157,0.955,75.916,4.0,children,High,1.56,Non-Explicit
05XkXO6kIjWe1l4HcGPxTw,Muffin Man,The Muffin Man's Sweet Nursery Rhymes,The Muffin Man,50.0,77780.0,False,0.79,0.688,7.0,-7.836,1.0,0.0332,0.258,0.0,0.168,0.899,109.944,4.0,children,High,1.3,Non-Explicit
3H3KHEifg4i7RZedDqZeX0,WowKidz,50 Top Hindi Nursery Rhymes,Titli Udi Bus Mein Chadi,27.0,40704.0,False,0.93,0.463,6.0,-6.302,1.0,0.319,0.88,0.0,0.107,0.761,125.009,4.0,children,Moderate,0.68,Non-Explicit
